Instancia,Clase,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23
0,2,0.000823570710986777,0.0006508471056859326,0.0006456526669972911,0.0017287893067194295,0.0022672040099936054,0.0011648627715549827,0.0007286693627719667,0.001340379852027118,0.00023802176548035748,0.00033306361521813943,0.0002832773873190134,0.0006682193056772184,0.00068661152968259,0.00026135142344873707,0.0004105768882477823,0.0009067338996702663,544.0,544.0,546.0,539.0,540.0,544.0,546.0,540.0
1,3,0.00048481126044000304,0.002233172223993151,0.00322464233093366,0.00257886098740658,0.005883059997539388,0.0008819295522548101,0.003396251052672225,0.0022689232549175094,0.00022373400124583328,0.0008050408586530163,0.0006980470558687913,0.0014578263660364177,0.001815848419203517,0.0005769278495444877,0.000475334657684076,0.00061306170912665,568.0,582.0,580.0,572.0,574.0,580.0,576.0,578.0
2,2,0.0007985974169936774,0.004617069550010628,0.0027248758172675794,0.005327306728895042,0.0020613641478301505,0.0005544051532759395,0.0006339522223553661,0.0005901223116025373,0.0002644511445769552,0.0009061865002744548,0.0006417874338851275,0.0012975614316676832,0.00042956566069568726,0.00020173850544948267,0.000244401738252094,0.0003236418384437149,564.0,572.0,568.0,566.0,566.0,566.0,565.0,580.0
3,3,0.0010653021779648108,0.0012090599895340814,0.0007609904356640987,0.0019355012579566073,0.0024992363013529293,0.0009886417374001882,0.001419957949385053,0.0007726339350020213,0.00020483804520169644,0.0005120168914052972,0.0005586017568007066,0.001105038820858875,0.0008691175362612523,0.0002640252330147684,0.0002676950180398743,0.00032295330745625594,580.0,576.0,570.0,581.0,578.0,572.0,572.0,577.0
4,2,0.0004729704947646962,0.005591600098267891,0.005422197556142253,0.005100284226381457,0.0007542670964296994,0.0007105971548388517,0.0016022587415966758,0.0022089117063747075,0.00027111140394214995,0.0007069045907896152,0.0008917835116850566,0.0011147913638519837,0.0004679738529523156,0.00022612082730774017,0.00037264887193616433,0.0006500862698137209,582.0,574.0,576.0,573.0,572.0,572.0,576.0,570.0
5,3,0.0016999367181707906,0.0011213790733889165,0.004764403767601401,0.018407475023074427,0.005202450590583634,0.0019074713201101875,0.002726972432382579,0.0035838007081516383,0.00020805260937413017,0.0003814895906148225,0.0005627327359001938,0.0015546176739477699,0.0013279725345368763,0.00040632335145529194,0.00031327160675206954,0.000373360638936328,571.0,580.0,572.0,572.0,572.0,574.0,575.0,569.0
6,2,0.002137090405928223,0.004335800284625049,0.0022096069761031174,0.006431624499104461,0.010059880481872209,0.00260628181313407,0.0060856024741923285,0.004524417431640737,0.00037289598813784004,0.000884922747369303,0.0008583616927064085,0.0014343523650029854,0.0011312426596309967,0.0003529920546010822,0.0007328758326209715,0.0007918888683518805,588.0,575.0,582.0,578.0,583.0,577.0,577.0,583.0
7,3,0.002229987004986753,0.009560010816025876,0.005226241078163948,0.013119188382118726,0.006195508920829647,0.0032060618415651328,0.0010324558055004205,0.0045899260271394906,0.000536293156430471,0.0017164516962236776,0.0015891393891504957,0.0033429567616292824,0.0029708114114750956,0.000932940553071635,0.0007160843130360609,0.0009940057447826547,643.0,640.0,636.0,646.0,636.0,635.0,632.0,640.0
8,2,0.0010316192195680913,0.001583347065151336,0.0038735760729224594,0.0049995288847081605,0.006241611081291864,0.0009262350548309787,0.0008528259369488658,0.0010915730486063518,0.00026079441357478516,0.0005242268899198153,0.0008575409211027707,0.0014148392222970445,0.0010215276613196717,0.00031090853998374054,0.0004502337151097018,0.0005028142102979167,577.0,570.0,580.0,582.0,580.0,574.0,583.0,583.0
9,3,0.004073173977750351,0.0037740029246775904,0.0022362787964521277,0.0026714422864573782,0.009154099286118315,0.001376505590048501,0.004859000245630364,0.007409646800681746,0.00041520268868613057,0.0007182885896113288,0.0008450165630100507,0.001223346374353814,0.0017325140232562044,0.0004962516131433236,0.0006576359286236358,0.0009174496331292691,573.0,574.0,580.0,580.0,576.0,582.0,579.0,578.0
